tweet_id,jpg_url,img_num,prediction,algorithm_number,confidence,Isdog
666020888022790149,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1,Collie,p2,,True
666020888022790149,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1,Shetland_sheepdog,p3,0.0614285,True
666020888022790149,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1,Welsh_springer_spaniel,p1,,True
666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,Redbone,p1,,True
666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,Rhodesian_ridgeback,p3,0.07201,True
666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,Miniature_pinscher,p2,,True
666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1,German_shepherd,p1,,True
666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1,Bloodhound,p3,,True
666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1,Malinois,p2,,True
666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,Rhodesian_ridgeback,p1,,True
666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,Miniature_pinscher,p3,,True
666044226329800704,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1,Redbone,p2,,True
666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1,Miniature_pinscher,p1,,True
666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1,Doberman,p3,,True
666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1,Rottweiler,p2,0.243682,True
666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1,Bernese_mountain_dog,p1,,True
666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1,English_springer,p2,,True
666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1,Greater_swiss_mountain_dog,p3,,True
666051853826850816,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1,Terrapin,p3,0.017885299999999996,True
666051853826850816,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1,Box_turtle,p1,0.933012,False
666051853826850816,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1,Mud_turtle,p2,,False
666055525042405380,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1,Tibetan_mastiff,p2,,True
666055525042405380,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1,Chow,p1,,True
666055525042405380,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1,Fur_coat,p3,,True
666057090499244032,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1,Golden_retriever,p3,,True
666057090499244032,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1,Shopping_basket,p2,,False
666057090499244032,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1,Shopping_cart,p1,,True
666058600524156928,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1,Miniature_poodle,p1,,True
666058600524156928,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1,Soft-coated_wheaten_terrier,p3,0.08208610000000001,True
666058600524156928,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1,Komondor,p2,,True
666063827256086533,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1,Labrador_retriever,p3,0.07242660000000001,True
666063827256086533,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1,Tibetan_mastiff,p2,,True
666063827256086533,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1,Golden_retriever,p1,,True
666071193221509120,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1,Yorkshire_terrier,p2,0.174201,True
666071193221509120,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1,Gordon_setter,p1,,True
666071193221509120,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1,Pekinese,p3,,True
666073100786774016,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1,Walker_hound,p1,0.260857,True
666073100786774016,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1,Ibizan_hound,p3,0.0974705,True
666073100786774016,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1,English_foxhound,p2,,True
666082916733198337,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,1,French_bulldog,p3,0.0489595,True
666082916733198337,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,1,Bull_mastiff,p2,,True
666082916733198337,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,1,Pug,p1,0.489814,True
666094000022159362,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,1,Malinois,p3,0.07562780000000001,True
666094000022159362,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,1,German_shepherd,p2,,True
666094000022159362,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,1,Bloodhound,p1,,True
666099513787052032,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1,Shih-tzu,p2,0.166192,True
666099513787052032,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1,Dandie_dinmont,p3,0.0896883,True
666099513787052032,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1,Lhasa,p1,,True
666102155909144576,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,1,English_setter,p1,,True
666102155909144576,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,1,Borzoi,p3,,True
666102155909144576,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,1,Newfoundland,p2,0.149842,True
666104133288665088,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,1,Partridge,p3,,True
666104133288665088,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,1,Hen,p1,,True
666104133288665088,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,1,Cock,p2,,True
666268910803644416,https://pbs.twimg.com/media/CT8QCd1WEAADXws.jpg,1,Desk,p2,,True
666268910803644416,https://pbs.twimg.com/media/CT8QCd1WEAADXws.jpg,1,Desktop_computer,p1,,False
666268910803644416,https://pbs.twimg.com/media/CT8QCd1WEAADXws.jpg,1,Bookcase,p3,,True
666273097616637952,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,1,Italian_greyhound,p1,,True
666273097616637952,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,1,Basenji,p3,0.111152,True
666273097616637952,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg,1,Toy_terrier,p2,,True
666287406224695296,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,1,Miniature_poodle,p3,0.0255806,True
666287406224695296,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,1,Toy_poodle,p2,0.0630638,True
666287406224695296,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,1,Maltese_dog,p1,,True
666293911632134144,https://pbs.twimg.com/media/CT8mx7KW4AEQu8N.jpg,1,Otter,p2,,True
666293911632134144,https://pbs.twimg.com/media/CT8mx7KW4AEQu8N.jpg,1,Three-toed_sloth,p1,0.914671,False
666293911632134144,https://pbs.twimg.com/media/CT8mx7KW4AEQu8N.jpg,1,Great_grey_owl,p3,,True
666337882303524864,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,1,Ox,p1,0.416669,False
666337882303524864,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,1,Groenendael,p3,0.102643,True
666337882303524864,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,1,Newfoundland,p2,,True
666345417576210432,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,1,Chesapeake_bay_retriever,p2,,True
666345417576210432,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,1,Labrador_retriever,p3,0.0142409,True
666345417576210432,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,1,Golden_retriever,p1,,True
666353288456101888,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg,1,Malamute,p1,,True
666353288456101888,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg,1,Eskimo_dog,p3,,True
666353288456101888,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg,1,Siberian_husky,p2,,True
666362758909284353,https://pbs.twimg.com/media/CT9lXGsUcAAyUFt.jpg,1,Skunk,p2,,True
666362758909284353,https://pbs.twimg.com/media/CT9lXGsUcAAyUFt.jpg,1,Hamster,p3,0.0004608630000000001,True
666362758909284353,https://pbs.twimg.com/media/CT9lXGsUcAAyUFt.jpg,1,Guinea_pig,p1,,True
666373753744588802,https://pbs.twimg.com/media/CT9vZEYWUAAlZ05.jpg,1,Briard,p3,,True
666373753744588802,https://pbs.twimg.com/media/CT9vZEYWUAAlZ05.jpg,1,Soft-coated_wheaten_terrier,p1,0.326467,True
666373753744588802,https://pbs.twimg.com/media/CT9vZEYWUAAlZ05.jpg,1,Afghan_hound,p2,,True
666396247373291520,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg,1,Toy_terrier,p2,,True
666396247373291520,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg,1,Papillon,p3,0.00457681,True
666396247373291520,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg,1,Chihuahua,p1,,True
666407126856765440,https://pbs.twimg.com/media/CT-NvwmW4AAugGZ.jpg,1,Flat-coated_retriever,p3,,True
666407126856765440,https://pbs.twimg.com/media/CT-NvwmW4AAugGZ.jpg,1,Black-and-tan_coonhound,p1,,True
666407126856765440,https://pbs.twimg.com/media/CT-NvwmW4AAugGZ.jpg,1,Bloodhound,p2,,True
666411507551481857,https://pbs.twimg.com/media/CT-RugiWIAELEaq.jpg,1,Coho,p1,,False
666411507551481857,https://pbs.twimg.com/media/CT-RugiWIAELEaq.jpg,1,Gar,p3,0.189945,True
666411507551481857,https://pbs.twimg.com/media/CT-RugiWIAELEaq.jpg,1,Barracouta,p2,,False
666418789513326592,https://pbs.twimg.com/media/CT-YWb7U8AA7QnN.jpg,1,Papillon,p2,,True
666418789513326592,https://pbs.twimg.com/media/CT-YWb7U8AA7QnN.jpg,1,Chihuahua,p3,,True
666418789513326592,https://pbs.twimg.com/media/CT-YWb7U8AA7QnN.jpg,1,Toy_terrier,p1,,True
666421158376562688,https://pbs.twimg.com/media/CT-aggCXAAIMfT3.jpg,1,Shih-tzu,p3,,True
666421158376562688,https://pbs.twimg.com/media/CT-aggCXAAIMfT3.jpg,1,Cocker_spaniel,p2,,True
666421158376562688,https://pbs.twimg.com/media/CT-aggCXAAIMfT3.jpg,1,Blenheim_spaniel,p1,,True
666428276349472768,https://pbs.twimg.com/media/CT-g-0DUwAEQdSn.jpg,1,Pembroke,p1,,True
666428276349472768,https://pbs.twimg.com/media/CT-g-0DUwAEQdSn.jpg,1,Pomeranian,p3,,True
666428276349472768,https://pbs.twimg.com/media/CT-g-0DUwAEQdSn.jpg,1,Chow,p2,0.249394,True
666430724426358785,https://pbs.twimg.com/media/CT-jNYqW4AAPi2M.jpg,1,Irish_terrier,p2,,True
666430724426358785,https://pbs.twimg.com/media/CT-jNYqW4AAPi2M.jpg,1,Dingo,p3,0.0620712,True
666430724426358785,https://pbs.twimg.com/media/CT-jNYqW4AAPi2M.jpg,1,Llama,p1,,True
666435652385423360,https://pbs.twimg.com/media/CT-nsTQWEAEkyDn.jpg,1,Power_drill,p3,,True
666435652385423360,https://pbs.twimg.com/media/CT-nsTQWEAEkyDn.jpg,1,Chesapeake_bay_retriever,p1,0.18413,True
666435652385423360,https://pbs.twimg.com/media/CT-nsTQWEAEkyDn.jpg,1,Chain_saw,p2,,False
666437273139982337,https://pbs.twimg.com/media/CT-pKmRWIAAxUWj.jpg,1,Chihuahua,p1,0.6718529999999999,True
666437273139982337,https://pbs.twimg.com/media/CT-pKmRWIAAxUWj.jpg,1,Beagle,p2,0.12468,True
666437273139982337,https://pbs.twimg.com/media/CT-pKmRWIAAxUWj.jpg,1,Saluki,p3,,True
666447344410484738,https://pbs.twimg.com/media/CT-yU5QWwAEjLX5.jpg,1,Giant_schnauzer,p2,,True
666447344410484738,https://pbs.twimg.com/media/CT-yU5QWwAEjLX5.jpg,1,Labrador_retriever,p3,,True
666447344410484738,https://pbs.twimg.com/media/CT-yU5QWwAEjLX5.jpg,1,Curly-coated_retriever,p1,0.32208400000000004,True
666454714377183233,https://pbs.twimg.com/media/CT-5Bs-WUAA2JeC.jpg,1,Great_pyrenees,p3,,True
666454714377183233,https://pbs.twimg.com/media/CT-5Bs-WUAA2JeC.jpg,1,Labrador_retriever,p2,0.237612,True
666454714377183233,https://pbs.twimg.com/media/CT-5Bs-WUAA2JeC.jpg,1,Dalmatian,p1,0.278954,True
666644823164719104,https://pbs.twimg.com/media/CUBl6IwVAAA9_zT.jpg,1,Pembroke,p2,0.0432093,True
666644823164719104,https://pbs.twimg.com/media/CUBl6IwVAAA9_zT.jpg,1,West_highland_white_terrier,p3,0.0389056,True
666644823164719104,https://pbs.twimg.com/media/CUBl6IwVAAA9_zT.jpg,1,Ibizan_hound,p1,,True
666649482315059201,https://pbs.twimg.com/media/CUBqKnLWwAA5OQB.jpg,1,Border_collie,p1,0.447803,True
666649482315059201,https://pbs.twimg.com/media/CUBqKnLWwAA5OQB.jpg,1,Collie,p3,0.139206,True
666649482315059201,https://pbs.twimg.com/media/CUBqKnLWwAA5OQB.jpg,1,English_springer,p2,,True
666691418707132416,https://pbs.twimg.com/media/CUCQTpEWEAA7EDz.jpg,1,German_shepherd,p1,,True
666691418707132416,https://pbs.twimg.com/media/CUCQTpEWEAA7EDz.jpg,1,Beagle,p2,,True
666691418707132416,https://pbs.twimg.com/media/CUCQTpEWEAA7EDz.jpg,1,Bloodhound,p3,,True
